Run #,Date,Runner,Time,Telescope,Prison,Dome,Game #,Seed,,,BF Seed,Calls
1,11/27/2011,coderjo,22:36,44354,12233,813141720,???,???,Windows XP VM,,,
2,2/21/2015,agrif,9:14,52155,33213,1014151621,???,???,Steam pre-25th,,,
3,5/1/2015,frenzied_coder,8:47,41142,31122,1013142223,???,???,Steam pre-25th,,,
4,6/7/2015,veo_,8:34,---,---,---,---,---,,,,
5,7/19/2015,veo_,8:13,---,---,---,---,---,,,,
6,2/1/2019,nausium,8:02,32352,23322,203061622,4,931,,,1072851090,62
7,2/7/2019,nausium,7:48,22411,33212,114161925,,936,prev game made off temple island,,3300007272,1989
8,2/12/2019,Admiral_Flapjack,7:44,13414,33322,1115212425,1,1000,,,2074120426,15
9,2/23/2019,Admiral_Flapjack,7:38,15411,11311,305142024,1,996,,,4146095742,16
10,3/1/2019,Admiral_Flapjack,7:29,13154,31313,516181921,1,994,,,595808788,15
11,6/4/2019,Admiral_Flapjack,7:23,11113,31111,815182024,8,1117,,,888661954,124
12,7/5/2019,zaustus,7:22,35243,12323,511122325,4,1187,,,2759578370,62
13,7/5/2019,zaustus,7:20,21221,21131,113212224,,1168,prev game made off temple island,,1525676859,1140
14,7/13/2019,zaustus,7:07,52215,21331,715162223,4,1156,,,1422199497,61
15,7/27/2019,zaustus,7:01,25525,32113,105101520,2,1294,,,983524718,35
16,7/28/2019,zaustus,6:50,15122,23122,209172223,2,1365,,,3700636987,31
17,8/5/2019,zaustus,6:40,22234,22113,108192022,,1277,prev game made off temple island,,2929171482,892
18,8/10/2019,zaustus,6:32,23332,21121,407112224,,1813,prev game made off temple island,,2325452369,844
19,8/10/2019,zaustus,6:28,41553,33113,213192021,,1634,prev game made off temple island,,1053914637,1664
20,8/25/2019,zaustus,6:23,11225,32313,508222325,6,1300,,,382517214,92
21,9/2/2019,zaustus,6:16,45233,31232,105101524,3,1347,,,3912369180,46
22,9/5/2019,zaustus,6:13,34131,22112,1314182324,,1292,prev game made off temple island,,405125310,1746
23,9/8/2019,zaustus,6:09,43453,22121,612152022,37,1322,,,3971094677,568
24,10/6/2019,zaustus,6:06,25443,32231,211151620,12,926,,,3310527819,186
25,10/6/2019,zaustus,5:59,42115,12331,111121420,6,923,,,2024010337,92
26,10/27/2019,zaustus,5:51,54324,12213,207192324,,1070,prev game made off temple island,,2286866304,1560
27,2/13/2020,zaustus,5:50,33324,33133,207082324,,1039,prev game made off temple island,,3179573920,4140
28,2/15/2020,zaustus,5:46,43145,12223,911141825,2,981,,,1541056860,31
29,11/25/2020,Jaffra,5:45,33552,22333,105141721,,1838,prev game made off temple island,,1054707182,9507
30,6/18/2021,Jaffra,5:23,23311,22122,812181921,,,prev game made off temple island,,3341141642,
,,,,,,,4,,,,,